codigo,municipio,pib_mil_reais
1706506,Darcinópolis - TO,241932
1707009,Dianópolis - TO,644829
1707108,Divinópolis do Tocantins - TO,249235
1707207,Dois Irmãos do Tocantins - TO,216149
1707306,Dueré - TO,204765
1707405,Esperantina - TO,118724
1707553,Fátima - TO,89100
1707652,Figueirópolis - TO,256752
1707702,Filadélfia - TO,129323
1708205,Formoso do Araguaia - TO,1414038
1708254,Tabocão - TO,232898
1708304,Goianorte - TO,193502
1709005,Goiatins - TO,230924
1709302,Guaraí - TO,880403
1709500,Gurupi - TO,2648420
1709807,Ipueiras - TO,47772
1710508,Itacajá - TO,186260
1710706,Itaguatins - TO,82611
1710904,Itapiratins - TO,171522
1711100,Itaporã do Tocantins - TO,69980
1711506,Jaú do Tocantins - TO,97865
1711803,Juarina - TO,44395
1711902,Lagoa da Confusão - TO,998445
1711951,Lagoa do Tocantins - TO,89429
1712009,Lajeado - TO,64405
1712157,Lavandeira - TO,37870
1712405,Lizarda - TO,66332
1712454,Luzinópolis - TO,71180
1712504,Marianópolis do Tocantins - TO,252331
1712702,Mateiros - TO,252360
1712801,Maurilândia do Tocantins - TO,55911
1713205,Miracema do Tocantins - TO,642003
1713304,Miranorte - TO,390325
1713601,Monte do Carmo - TO,296288
1713700,Monte Santo do Tocantins - TO,75004
1713809,Palmeiras do Tocantins - TO,95357
1713957,Muricilândia - TO,69465
1714203,Natividade - TO,247340
1714302,Nazaré - TO,58139
1714880,Nova Olinda - TO,320311
1715002,Nova Rosalândia - TO,100915
1715101,Novo Acordo - TO,84723
1715150,Novo Alegre - TO,35521
1715259,Novo Jardim - TO,42672
1715507,Oliveira de Fátima - TO,29469
1715705,Palmeirante - TO,185349
1715754,Palmeirópolis - TO,170118
1716109,Paraíso do Tocantins - TO,1513693
1716208,Paranã - TO,315397
1716307,Pau D'Arco - TO,91169
1716505,Pedro Afonso - TO,848671
1716604,Peixe - TO,733929
1716653,Pequizeiro - TO,107606
1716703,Colméia - TO,182796
1717008,Pindorama do Tocantins - TO,85006
1717206,Piraquê - TO,89940
1717503,Pium - TO,361915
1717800,Ponte Alta do Bom Jesus - TO,66158
1717909,Ponte Alta do Tocantins - TO,121170
1718006,Porto Alegre do Tocantins - TO,47043
1718204,Porto Nacional - TO,3649421
1718303,Praia Norte - TO,93139
1718402,Presidente Kennedy - TO,65165
1718451,Pugmil - TO,82663
1718501,Recursolândia - TO,91480
1718550,Riachinho - TO,68536
1718659,Rio da Conceição - TO,29142
1718709,Rio dos Bois - TO,85928
1718758,Rio Sono - TO,111443
1718808,Sampaio - TO,145863
1718840,Sandolândia - TO,116736
1718865,Santa Fé do Araguaia - TO,175927
1718881,Santa Maria do Tocantins - TO,139630
1718899,Santa Rita do Tocantins - TO,180273
1718907,Santa Rosa do Tocantins - TO,307685
1719004,Santa Tereza do Tocantins - TO,48098
1720002,Santa Terezinha do Tocantins - TO,41931
1720101,São Bento do Tocantins - TO,73590
1720150,São Félix do Tocantins - TO,36541
1720200,São Miguel do Tocantins - TO,255814
1720259,São Salvador do Tocantins - TO,49467
1720309,São Sebastião do Tocantins - TO,61804
1720499,São Valério - TO,156734
1720655,Silvanópolis - TO,240329
1720804,Sítio Novo do Tocantins - TO,132862
1720853,Sucupira - TO,532374
1720903,Taguatinga - TO,318253
1720937,Taipas do Tocantins - TO,35246
1720978,Talismã - TO,146708
1721000,Palmas - TO,10333419
1721109,Tocantínia - TO,191373
1721208,Tocantinópolis - TO,372642
1721257,Tupirama - TO,118839
1721307,Tupiratins - TO,38619
1722081,Wanderlândia - TO,183424
1722107,Xambioá - TO,471020
2100055,Açailândia - MA,3828533
2100105,Afonso Cunha - MA,85052
2100154,Água Doce do Maranhão - MA,101642
2100204,Alcântara - MA,148763
2100303,Aldeias Altas - MA,249396
2100402,Altamira do Maranhão - MA,71512
2100436,Alto Alegre do Maranhão - MA,303118
2100477,Alto Alegre do Pindaré - MA,251719
2100501,Alto Parnaíba - MA,578961
2100550,Amapá do Maranhão - MA,70198
2100600,Amarante do Maranhão - MA,388636
2100709,Anajatuba - MA,207606
2100808,Anapurus - MA,149102
2100832,Apicum-Açu - MA,133946
2100873,Araguanã - MA,101728
2100907,Araioses - MA,282769
2100956,Arame - MA,290315
2101004,Arari - MA,313251
2101103,Axixá - MA,97422
2101202,Bacabal - MA,1514560
2101251,Bacabeira - MA,599285
2101301,Bacuri - MA,122872
2101350,Bacurituba - MA,39590
2101400,Balsas - MA,6307425
2101509,Barão de Grajaú - MA,268538
2101608,Barra do Corda - MA,889190
2101707,Barreirinhas - MA,635711
2101731,Belágua - MA,60711
2101772,Bela Vista do Maranhão - MA,107543
2101806,Benedito Leite - MA,73150
2101905,Bequimão - MA,138114
2101939,Bernardo do Mearim - MA,105114
2101970,Boa Vista do Gurupi - MA,67540
2102002,Bom Jardim - MA,411352
2102036,Bom Jesus das Selvas - MA,375665
2102077,Bom Lugar - MA,117960
2102101,Brejo - MA,328633
2102150,Brejo de Areia - MA,71065
2102200,Buriti - MA,277919
2102309,Buriti Bravo - MA,238673
2102325,Buriticupu - MA,748028
2102358,Buritirana - MA,122474
2102374,Cachoeira Grande - MA,60974
2102408,Cajapió - MA,70653
2102507,Cajari - MA,128078
2102556,Campestre do Maranhão - MA,214011
2102606,Cândido Mendes - MA,146788
2102705,Cantanhede - MA,153398
2102754,Capinzal do Norte - MA,283976
2102804,Carolina - MA,525893
2102903,Carutapera - MA,201999
2103000,Caxias - MA,2112638
2103109,Cedral - MA,78583
2103125,Central do Maranhão - MA,58347
2103158,Centro do Guilherme - MA,103737
2103174,Centro Novo do Maranhão - MA,200757
2103208,Chapadinha - MA,894366
2103257,Cidelândia - MA,183560
2103307,Codó - MA,1648585
2103406,Coelho Neto - MA,465859
2103505,Colinas - MA,553171
2103554,Conceição do Lago-Açu - MA,147189
2103604,Coroatá - MA,533579
2103703,Cururupu - MA,264536
2103752,Davinópolis - MA,190193
2103802,Dom Pedro - MA,262555
2103901,Duque Bacelar - MA,86904
2104008,Esperantinópolis - MA,158978
2104057,Estreito - MA,1134821
2104073,Feira Nova do Maranhão - MA,118004
2104081,Fernando Falcão - MA,100418
2104099,Formosa da Serra Negra - MA,202149
2104107,Fortaleza dos Nogueiras - MA,346695
2104206,Fortuna - MA,143297
2104305,Godofredo Viana - MA,2658688
2104404,Gonçalves Dias - MA,150061
2104503,Governador Archer - MA,91904
2104552,Governador Edison Lobão - MA,374988
2104602,Governador Eugênio Barros - MA,118426
2104628,Governador Luiz Rocha - MA,71080
2104651,Governador Newton Bello - MA,84172
2104677,Governador Nunes Freire - MA,257972
2104701,Graça Aranha - MA,54153
2104800,Grajaú - MA,1149733
2104909,Guimarães - MA,93393
2105005,Humberto de Campos - MA,184363
2105104,Icatu - MA,178923
2105153,Igarapé do Meio - MA,370653
2105203,Igarapé Grande - MA,117728
2105302,Imperatriz - MA,7692904
2105351,Itaipava do Grajaú - MA,107285
2105401,Itapecuru Mirim - MA,772830
2105427,Itinga do Maranhão - MA,489226
2105450,Jatobá - MA,75689
2105476,Jenipapo dos Vieiras - MA,125733
2105500,João Lisboa - MA,270611
2105609,Joselândia - MA,116543
2105658,Junco do Maranhão - MA,61701
2105708,Lago da Pedra - MA,550404
2105807,Lago do Junco - MA,86638
2105906,Lago Verde - MA,135733
2105922,Lagoa do Mato - MA,97006
2105948,Lago dos Rodrigues - MA,83983
2105963,Lagoa Grande do Maranhão - MA,102432
2105989,Lajeado Novo - MA,101467
2106003,Lima Campos - MA,274539
2106102,Loreto - MA,413263
2106201,Luís Domingues - MA,57337
2106300,Magalhães de Almeida - MA,140962
2106326,Maracaçumé - MA,208574
2106359,Marajá do Sena - MA,90804
2106375,Maranhãozinho - MA,120910
2106409,Mata Roma - MA,179196
2106508,Matinha - MA,196744
2106607,Matões - MA,256347
2106631,Matões do Norte - MA,99315
2106672,Milagres do Maranhão - MA,64341
2106706,Mirador - MA,277811
2106755,Miranda do Norte - MA,788580
2106805,Mirinzal - MA,112050
2106904,Monção - MA,257635
2107001,Montes Altos - MA,86487
2107100,Morros - MA,149899
2107209,Nina Rodrigues - MA,88513
2107258,Nova Colinas - MA,86427
2107308,Nova Iorque - MA,50966
2107357,Nova Olinda do Maranhão - MA,183142
2107407,Olho d'Água das Cunhãs - MA,188363
2107456,Olinda Nova do Maranhão - MA,107282
2107506,Paço do Lumiar - MA,1240349
2107605,Palmeirândia - MA,139099
2107704,Paraibano - MA,183353
2107803,Parnarama - MA,322943
2107902,Passagem Franca - MA,200088
2108009,Pastos Bons - MA,309499
2108058,Paulino Neves - MA,118326
2108108,Paulo Ramos - MA,194140
2108207,Pedreiras - MA,787660
2108256,Pedro do Rosário - MA,157863
2108306,Penalva - MA,253736
